anime,type,character,anime_id,name,group
KU-RU-KU-RU Cruller!,Main,"Kunikida, Hanamaru",49880,"Takatsuki, Kanako",aqours
Vlad Love,Supporting,"Konno, Kaoru",39990,"Takatsuki, Kanako",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Kunikida, Hanamaru",37027,"Takatsuki, Kanako",aqours
Love Live! Sunshine!! 2nd Season,Main,"Kunikida, Hanamaru",34973,"Takatsuki, Kanako",aqours
Uma no Friends,Supporting,Chestnut horse,36119,"Takatsuki, Kanako",aqours
Koi to Uso,Supporting,"Katou, Ayano",34934,"Takatsuki, Kanako",aqours
Happy Party Train,Main,"Kunikida, Hanamaru",35006,"Takatsuki, Kanako",aqours
Love Live! Sunshine!!,Main,"Kunikida, Hanamaru",32526,"Takatsuki, Kanako",aqours
Koi ni Naritai Aquarium,Main,"Kunikida, Hanamaru",32953,"Takatsuki, Kanako",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Kunikida, Hanamaru",31780,"Takatsuki, Kanako",aqours
100-man no Inochi no Ue ni Ore wa Tatteiru,Staff,,41380,"Takatsuki, Kanako",aqours
Love Live! Sunshine!!,Staff,,32526,"Takatsuki, Kanako",aqours
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Staff,,44881,"Takatsuki, Kanako",aqours
Vlad Love,Staff,,39990,"Takatsuki, Kanako",aqours
KU-RU-KU-RU Cruller!,Main,"Sakurauchi, Riko",49880,"Aida, Rikako",aqours
Kakushigoto Movie,Supporting,"Senda, Naru",44586,"Aida, Rikako",aqours
Shiroi Suna no Aquatope,Main,"Miyazawa, Fuuka",46093,"Aida, Rikako",aqours
Mashiro no Oto,Supporting,"Tachiki, Yuna",42590,"Aida, Rikako",aqours
Soukou Musume Senki,Main,Riko,36458,"Aida, Rikako",aqours
Kakushigoto (TV),Supporting,"Senda, Naru",40716,"Aida, Rikako",aqours
Val x Love,Supporting,"Saotome, Shino",39799,"Aida, Rikako",aqours
Koutetsujou no Kabaneri Movie 3: Unato Kessen,Supporting,Miyuki,34544,"Aida, Rikako",aqours
Senryuu Shoujo,Supporting,"Ootsuki, Koto",38787,"Aida, Rikako",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Sakurauchi, Riko",37027,"Aida, Rikako",aqours
Poputepipikku,Supporting,"Sakuragi, Iyo",35330,"Aida, Rikako",aqours
Poputepipikku,Supporting,Mary-san,35330,"Aida, Rikako",aqours
Hoozuki no Reitetsu 2nd Season,Main,Hoozuki,35075,"Aida, Rikako",aqours
Love Live! Sunshine!! 2nd Season,Main,"Sakurauchi, Riko",34973,"Aida, Rikako",aqours
Happy Party Train,Main,"Sakurauchi, Riko",35006,"Aida, Rikako",aqours
Sakurada Reset,Supporting,"Sera, Sawako",34102,"Aida, Rikako",aqours
Love Live! Sunshine!!,Main,"Sakurauchi, Riko",32526,"Aida, Rikako",aqours
Koi ni Naritai Aquarium,Main,"Sakurauchi, Riko",32953,"Aida, Rikako",aqours
Koutetsujou no Kabaneri,Supporting,Ichinoshin,28623,"Aida, Rikako",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Sakurauchi, Riko",31780,"Aida, Rikako",aqours
Love Live! Sunshine!!,Staff,,32526,"Aida, Rikako",aqours
Senryuu Shoujo,Staff,,38787,"Aida, Rikako",aqours
Soukou Musume Senki,Staff,,36458,"Aida, Rikako",aqours
Val x Love,Staff,,39799,"Aida, Rikako",aqours
Gyakuten Sekai no Denchi Shoujo,Main,"Aoba, Yuki",48644,"Suzuki, Aina",aqours
Puraore! Pride of Orange,Supporting,"Ukita, Shino",44274,"Suzuki, Aina",aqours
KU-RU-KU-RU Cruller!,Main,"Ohara, Mari",49880,"Suzuki, Aina",aqours
Etotama: Nyankyaku Banrai,Main,Na-tan,37346,"Suzuki, Aina",aqours
"Ijiranaide, Nagatoro-san",Supporting,Yoshi,42361,"Suzuki, Aina",aqours
Iwa Kakeru!: Sport Climbing Girls,Main,"Yotsuba, Sayo",41783,"Suzuki, Aina",aqours
Monster Musume no Oishasan,Supporting,Eelis,40708,"Suzuki, Aina",aqours
Hatena☆Illusion,Main,"Hoshisato, Kana",35252,"Suzuki, Aina",aqours
5-toubun no Hanayome,Supporting,Hongou,38101,"Suzuki, Aina",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Ohara, Mari",37027,"Suzuki, Aina",aqours
Saint Seiya: Saintia Shou,Main,"Equuleus, Shouko",34539,"Suzuki, Aina",aqours
Release the Spyce,Supporting,Byakko,37221,"Suzuki, Aina",aqours
Jashin-chan Dropkick,Main,Jashin-chan,36906,"Suzuki, Aina",aqours
Mahou Shoujo Site,Main,"Shioi, Rina",36266,"Suzuki, Aina",aqours
Alice or Alice,Supporting,Yamirie,36001,"Suzuki, Aina",aqours
Love Live! Sunshine!! 2nd Season,Main,"Ohara, Mari",34973,"Suzuki, Aina",aqours
Clione no Akari,Supporting,"Ichinose, Kaho",35114,"Suzuki, Aina",aqours
Happy Party Train,Main,"Ohara, Mari",35006,"Suzuki, Aina",aqours
Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,Supporting,"Medikum, Anne",33025,"Suzuki, Aina",aqours
Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa,Main,"Medikum, Anne",33024,"Suzuki, Aina",aqours
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,Main,Miclas,33011,"Suzuki, Aina",aqours
Amaama to Inazuma,Supporting,"Suzuno, Chiyo",32828,"Suzuki, Aina",aqours
Love Live! Sunshine!!,Main,"Ohara, Mari",32526,"Suzuki, Aina",aqours
Sansha Sanyou Specials,Supporting,"Kondou, Asako",33173,"Suzuki, Aina",aqours
Koi ni Naritai Aquarium,Main,"Ohara, Mari",32953,"Suzuki, Aina",aqours
Sansha Sanyou,Supporting,"Kondou, Asako",31564,"Suzuki, Aina",aqours
Onigiri,Main,Shizuka Gozen,32606,"Suzuki, Aina",aqours
Bishoujo Yuugi Unit Crane Game Girls,Supporting,Newscaster,32906,"Suzuki, Aina",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Ohara, Mari",31780,"Suzuki, Aina",aqours
Joukamachi no Dandelion,Main,"Sakurada, Shiori",28387,"Suzuki, Aina",aqours
AkaKill! Gekijou,Supporting,Mez,25241,"Suzuki, Aina",aqours
Akame ga Kill!,Supporting,Mez,22199,"Suzuki, Aina",aqours
Monster Musume no Oishasan,Staff,,40708,"Suzuki, Aina",aqours
Love Live! Sunshine!!,Staff,,32526,"Suzuki, Aina",aqours
Jashin-chan Dropkick,Staff,,36906,"Suzuki, Aina",aqours
Iwa Kakeru!: Sport Climbing Girls,Staff,,41783,"Suzuki, Aina",aqours
Hatena☆Illusion,Staff,,35252,"Suzuki, Aina",aqours
Jashin-chan Dropkick',Staff,,39049,"Suzuki, Aina",aqours
Gyakuten Sekai no Denchi Shoujo,Staff,,48644,"Suzuki, Aina",aqours
Saint Seiya: Saintia Shou,Staff,,34539,"Suzuki, Aina",aqours
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,Staff,,33011,"Suzuki, Aina",aqours
Jashin-chan Dropkick': Chitose-hen,Staff,,40661,"Suzuki, Aina",aqours
Etotama: Nyankyaku Banrai,Staff,,37346,"Suzuki, Aina",aqours
KU-RU-KU-RU Cruller!,Main,"Kurosawa, Ruby",49880,"Furihata, Ai",aqours
Tokyo Gambo,Main,Cacao,44056,"Furihata, Ai",aqours
Rail Romanesque,Main,Iyo,40958,"Furihata, Ai",aqours
Dragon Quest: Dai no Daibouken (2020),Supporting,Gome,40906,"Furihata, Ai",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Kurosawa, Ruby",37027,"Furihata, Ai",aqours
Okojo to Yamane,Main,Yamane,37780,"Furihata, Ai",aqours
Love Live! Sunshine!! 2nd Season,Main,"Kurosawa, Ruby",34973,"Furihata, Ai",aqours
Happy Party Train,Main,"Kurosawa, Ruby",35006,"Furihata, Ai",aqours
Love Live! Sunshine!!,Main,"Kurosawa, Ruby",32526,"Furihata, Ai",aqours
Koi ni Naritai Aquarium,Main,"Kurosawa, Ruby",32953,"Furihata, Ai",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Kurosawa, Ruby",31780,"Furihata, Ai",aqours
100-man no Inochi no Ue ni Ore wa Tatteiru,Staff,,41380,"Furihata, Ai",aqours
Love Live! Sunshine!!,Staff,,32526,"Furihata, Ai",aqours
KU-RU-KU-RU Cruller!,Main,"Kurosawa, Dia",49880,"Komiya, Arisa",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Kurosawa, Dia",37027,"Komiya, Arisa",aqours
Love Live! Sunshine!! 2nd Season,Main,"Kurosawa, Dia",34973,"Komiya, Arisa",aqours
Happy Party Train,Main,"Kurosawa, Dia",35006,"Komiya, Arisa",aqours
Love Live! Sunshine!!,Main,"Kurosawa, Dia",32526,"Komiya, Arisa",aqours
Garo Movie: Divine Flame,Supporting,Sarah,28539,"Komiya, Arisa",aqours
Koi ni Naritai Aquarium,Main,"Kurosawa, Dia",32953,"Komiya, Arisa",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Kurosawa, Dia",31780,"Komiya, Arisa",aqours
Love Live! Sunshine!!,Staff,,32526,"Komiya, Arisa",aqours
KU-RU-KU-RU Cruller!,Main,"Matsuura, Kanan",49880,"Suwa, Nanaka",aqours
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Supporting,Yui,38790,"Suwa, Nanaka",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Matsuura, Kanan",37027,"Suwa, Nanaka",aqours
Love Live! Sunshine!! 2nd Season,Main,"Matsuura, Kanan",34973,"Suwa, Nanaka",aqours
Happy Party Train,Main,"Matsuura, Kanan",35006,"Suwa, Nanaka",aqours
Love Live! Sunshine!!,Main,"Matsuura, Kanan",32526,"Suwa, Nanaka",aqours
Koi ni Naritai Aquarium,Main,"Matsuura, Kanan",32953,"Suwa, Nanaka",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Matsuura, Kanan",31780,"Suwa, Nanaka",aqours
Battle Athletess Daiundoukai ReSTART!,Staff,,42321,"Suwa, Nanaka",aqours
Love Live! Sunshine!!,Staff,,32526,"Suwa, Nanaka",aqours
Motto ne!,Staff,,48378,"Suwa, Nanaka",aqours
KU-RU-KU-RU Cruller!,Main,"Takami, Chika",49880,"Inami, Anju",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Takami, Chika",37027,"Inami, Anju",aqours
Animegataris,Main,"Aoyama, Erika",35427,"Inami, Anju",aqours
Love Live! Sunshine!! 2nd Season,Main,"Takami, Chika",34973,"Inami, Anju",aqours
Love Live! Sunshine!! Recap,Main,"Takami, Chika",36473,"Inami, Anju",aqours
Happy Party Train,Main,"Takami, Chika",35006,"Inami, Anju",aqours
Love Live! Sunshine!!,Main,"Takami, Chika",32526,"Inami, Anju",aqours
Koi ni Naritai Aquarium,Main,"Takami, Chika",32953,"Inami, Anju",aqours
Kimi no Kokoro wa Kagayaiteru kai?,Main,"Takami, Chika",31780,"Inami, Anju",aqours
Animegatari,Main,Erika,30617,"Inami, Anju",aqours
Wonder Momo,Supporting,"Fujita, Yumi",22377,"Inami, Anju",aqours
Hinata no Aoshigure,Main,Hinata,20673,"Inami, Anju",aqours
Love Live! Sunshine!!,Staff,,32526,"Inami, Anju",aqours
D4DJ Petit Mix,Main,"Fukushima, Noa",45782,"Satou, Hinata",aqours
D4DJ: First Mix,Supporting,"Fukushima, Noa",39681,"Satou, Hinata",aqours
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,Main,"Hoshimi, Junna",40665,"Satou, Hinata",aqours
Shoujo☆Conto All Starlight,Main,"Hoshimi, Junna",39643,"Satou, Hinata",aqours
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Main,"Kazuno, Leah",37027,"Satou, Hinata",aqours
Shoujo☆Kageki Revue Starlight,Main,"Hoshimi, Junna",35503,"Satou, Hinata",aqours
Love Live! Sunshine!! 2nd Season,Supporting,"Kazuno, Leah",34973,"Satou, Hinata",aqours
Love Live! Sunshine!!,Supporting,"Kazuno, Leah",32526,"Satou, Hinata",aqours
KutsuDaru.,Main,"Karasawa, Rin",22465,"Satou, Hinata",aqours
Shoujo☆Kageki Revue Starlight,Staff,,35503,"Satou, Hinata",aqours
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Tennouji, Rina",40879,"Tanaka, Chiemi",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Tennouji, Rina",42889,"Tanaka, Chiemi",nijigasaki
Sakura Quest,Main,"Oribe, Ririko",34494,"Tanaka, Chiemi",nijigasaki
Sansha Sanyou Specials,Supporting,"Tsuji, Sasame",33173,"Tanaka, Chiemi",nijigasaki
Sansha Sanyou,Supporting,"Tsuji, Sasame",31564,"Tanaka, Chiemi",nijigasaki
Seirei Gensouki 2nd Season,Main,Latifa,50306,"Kusunoki, Tomori",nijigasaki
Tomodachi no Imouto ga Ore ni dake Uzai,Main,"Tsukinomori, Mashiro",47158,"Kusunoki, Tomori",nijigasaki
Senpai ga Uzai Kouhai no Hanashi,Main,"Igarashi, Futaba",42351,"Kusunoki, Tomori",nijigasaki
Muv-Luv Alternative,Main,"Kagami, Sumika",40608,"Kusunoki, Tomori",nijigasaki
Seirei Gensouki,Main,Latifa,44203,"Kusunoki, Tomori",nijigasaki
Wonder Egg Priority,Main,"Aonuma, Neiru",43299,"Kusunoki, Tomori",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Yuuki, Setsuna",40879,"Kusunoki, Tomori",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Yuuki, Setsuna",42889,"Kusunoki, Tomori",nijigasaki
Deca-Dence,Main,Natsume,40056,"Kusunoki, Tomori",nijigasaki
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Main,"Necron, Misha",40496,"Kusunoki, Tomori",nijigasaki
Kiratto Pri☆chan Season 3,Supporting,"Momoyama, Hikari",40880,"Kusunoki, Tomori",nijigasaki
Yu☆Gi☆Oh!: Sevens,Main,"Kirishima, Romin",40145,"Kusunoki, Tomori",nijigasaki
High School Fleet Movie,Supporting,"Abe, Azumi",37704,"Kusunoki, Tomori",nijigasaki
Kabukichou Sherlock,Supporting,Juri,38161,"Kusunoki, Tomori",nijigasaki
Assassins Pride,Main,"Angel, Melida",38572,"Kusunoki, Tomori",nijigasaki
Shoujo☆Conto All Starlight,Main,"Tomoe, Tamao",39643,"Kusunoki, Tomori",nijigasaki
Kiratto Pri☆chan Season 2,Supporting,"Momoyama, Hikari",38804,"Kusunoki, Tomori",nijigasaki
Anima Yell!,Main,"Tatejima, Kotetsu",37206,"Kusunoki, Tomori",nijigasaki
Akanesasu Shoujo,Supporting,"Yamanashi, Mayuki",37561,"Kusunoki, Tomori",nijigasaki
Sword Art Online Alternative: Gun Gale Online,Main,"Kohiruimaki, Karen",36475,"Kusunoki, Tomori",nijigasaki
Kiratto Pri☆chan,Supporting,"Momoyama, Hikari",37178,"Kusunoki, Tomori",nijigasaki
Kujira no Kora wa Sajou ni Manabu!,Supporting,Suzu,37272,"Kusunoki, Tomori",nijigasaki
Märchen Mädchen,Main,"Kagimura, Hazuki",35997,"Kusunoki, Tomori",nijigasaki
Slow Start,Supporting,"Tokura, Miki",35540,"Kusunoki, Tomori",nijigasaki
Kujira no Kora wa Sajou ni Utau,Supporting,Suzu,34712,"Kusunoki, Tomori",nijigasaki
Wonder Egg Priority,Staff,,43299,"Kusunoki, Tomori",nijigasaki
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Staff,,40496,"Kusunoki, Tomori",nijigasaki
Sword Art Online Alternative: Gun Gale Online,Staff,,36475,"Kusunoki, Tomori",nijigasaki
Assassins Pride,Staff,,38572,"Kusunoki, Tomori",nijigasaki
Senpai ga Uzai Kouhai no Hanashi,Staff,,42351,"Kusunoki, Tomori",nijigasaki
Sword Art Online Alternative: Gun Gale Online - Refrain,Staff,,37831,"Kusunoki, Tomori",nijigasaki
"Deemo Movie: Sakura no Oto - Anata no Kanadeta Oto ga, Ima mo Hibiku",Supporting,Sania,40722,"Kitou, Akari",nijigasaki
Tonikaku Kawaii 2nd Season,Main,"Yuzaki, Tsukasa",50307,"Kitou, Akari",nijigasaki
Mato Seihei no Slave,Main,"Uzen, Kyouka",50392,"Kitou, Akari",nijigasaki
Akebi-chan no Sailor-fuku,Supporting,"Usagihara, Touko",48553,"Kitou, Akari",nijigasaki
Ninjala (TV),Main,Berecca,50418,"Kitou, Akari",nijigasaki
Birdie Wing: Golf Girls' Story,Main,Eve,50248,"Kitou, Akari",nijigasaki
Kakkou no Iinazuke,Main,"Amano, Erika",48675,"Kitou, Akari",nijigasaki
Kyokou Suiri 2nd Season,Main,"Iwanaga, Kotoko",44204,"Kitou, Akari",nijigasaki
Kimetsu no Yaiba: Yuukaku-hen,Main,"Kamado, Nezuko",47778,"Kitou, Akari",nijigasaki
Tonikaku Kawaii: SNS,Main,"Yuzaki, Tsukasa",44931,"Kitou, Akari",nijigasaki
Deatte 5-byou de Battle,Supporting,Yang,43814,"Kitou, Akari",nijigasaki
Tsuki ga Michibiku Isekai Douchuu,Main,Mio,43523,"Kitou, Akari",nijigasaki
Battle Athletess Daiundoukai ReSTART!,Supporting,"Gurtland, Lydia",42321,"Kitou, Akari",nijigasaki
Shadows House,Main,Kate,43439,"Kitou, Akari",nijigasaki
Shinkansen Henkei Robo Shinkalion Z the Animation,Main,"Usui, Abuto",46381,"Kitou, Akari",nijigasaki
Majutsushi Orphen Hagure Tabi: Kimluck-hen,Supporting,Mädchen,41573,"Kitou, Akari",nijigasaki
Ex-Arm,Main,Alma,38853,"Kitou, Akari",nijigasaki
Kai Byoui Ramune,Supporting,"Kashiwagi, Koto",42822,"Kitou, Akari",nijigasaki
Ore dake Haireru Kakushi Dungeon,Supporting,Luna,41899,"Kitou, Akari",nijigasaki
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Main,Inglis,43727,"Kitou, Akari",nijigasaki
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Main,"Kamado, Nezuko",40456,"Kitou, Akari",nijigasaki
Adachi to Shimamura,Main,"Adachi, Sakura",39790,"Kitou, Akari",nijigasaki
Tonikaku Kawaii,Main,"Yuzaki, Tsukasa",41389,"Kitou, Akari",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Konoe, Kanata",40879,"Kitou, Akari",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Konoe, Kanata",42889,"Kitou, Akari",nijigasaki
Umayon,Main,Seiun Sky,38835,"Kitou, Akari",nijigasaki
Mushikago no Cagaster,Supporting,Lizzy,38663,"Kitou, Akari",nijigasaki
Kyokou Uranai,Main,"Iwanaga, Kotoko",42562,"Kitou, Akari",nijigasaki
Kyokou Suiri,Main,"Iwanaga, Kotoko",39017,"Kitou, Akari",nijigasaki
Jibaku Shounen Hanako-kun,Main,"Yashiro, Nene",39534,"Kitou, Akari",nijigasaki
Kyokou Suiri Mini Anime,Main,"Iwanaga, Kotoko",40894,"Kitou, Akari",nijigasaki
Machikado Mazoku,Main,"Chiyoda, Momo",39071,"Kitou, Akari",nijigasaki
Re:Stage! Dream Days♪,Main,"Tsukisaka, Sayu",38009,"Kitou, Akari",nijigasaki
Nakanohito Genome [Jikkyouchuu],Main,"Sarayashiki, Karin",37926,"Kitou, Akari",nijigasaki
Hitoribocchi no Marumaru Seikatsu,Main,"Honshou, Aru",37614,"Kitou, Akari",nijigasaki
Kimetsu no Yaiba,Main,"Kamado, Nezuko",38000,"Kitou, Akari",nijigasaki
Watashi ni Tenshi ga Maiorita!,Main,"Himesaka, Noa",37993,"Kitou, Akari",nijigasaki
SSSS.Gridman,Supporting,Hass,35847,"Kitou, Akari",nijigasaki
Harukana Receive,Supporting,"Tanahara, Ai",35983,"Kitou, Akari",nijigasaki
Shichisei no Subaru,Main,"Usui, Satsuki",36316,"Kitou, Akari",nijigasaki
Last Period: Owarinaki Rasen no Monogatari,Supporting,Kikazaru,37254,"Kitou, Akari",nijigasaki
Lostorage Conflated WIXOSS,Supporting,Layla,34607,"Kitou, Akari",nijigasaki
Uma Musume: Pretty Derby (TV),Supporting,Seiun Sky,35249,"Kitou, Akari",nijigasaki
Grancrest Senki,Main,"Meletes, Siluca",34279,"Kitou, Akari",nijigasaki
Ramen Daisuki Koizumi-san,Main,"Nakamura, Misa",35298,"Kitou, Akari",nijigasaki
Lostorage Conflated WIXOSS: Missing Link,Supporting,Layla,36083,"Kitou, Akari",nijigasaki
Blend S,Main,"Hinata, Kaho",34618,"Kitou, Akari",nijigasaki
Time Bokan: Gyakushuu no San Akunin,Main,Calen,35254,"Kitou, Akari",nijigasaki
UQ Holder!: Mahou Sensei Negima! 2,Supporting,"Yukihiro, Mizore",33478,"Kitou, Akari",nijigasaki
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Main,"Horikita, Suzune",35507,"Kitou, Akari",nijigasaki
Princess Principal,Supporting,"Gaveston, Lily",35240,"Kitou, Akari",nijigasaki
Tsurezure Children,Main,"Ijima, Kana",34902,"Kitou, Akari",nijigasaki
Alice to Zouroku,Supporting,"Hinagiri, Yonaga",34350,"Kitou, Akari",nijigasaki
Minami Kamakura Koukou Joshi Jitenshabu,Supporting,"Mori, Nagisa",31422,"Kitou, Akari",nijigasaki
Time Bokan 24,Main,Calen,33026,"Kitou, Akari",nijigasaki
Taboo Tattoo,Supporting,Aryabhata,29758,"Kitou, Akari",nijigasaki
Boku dake ga Inai Machi,Supporting,"Sugita, Hiromi",31043,"Kitou, Akari",nijigasaki
Ookami Shoujo to Kuro Ouji,Supporting,"Yajima, Kana",23673,"Kitou, Akari",nijigasaki
Rokujouma no Shinryakusha!? (TV),Supporting,"Aika, Maki",22865,"Kitou, Akari",nijigasaki
Blend S,Staff,,34618,"Kitou, Akari",nijigasaki
Tonikaku Kawaii,Staff,,41389,"Kitou, Akari",nijigasaki
Jibaku Shounen Hanako-kun,Staff,,39534,"Kitou, Akari",nijigasaki
Tsuki ga Michibiku Isekai Douchuu,Staff,,43523,"Kitou, Akari",nijigasaki
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,Staff,,39523,"Kitou, Akari",nijigasaki
Hitoribocchi no Marumaru Seikatsu,Staff,,37614,"Kitou, Akari",nijigasaki
UQ Holder!: Mahou Sensei Negima! 2,Staff,,33478,"Kitou, Akari",nijigasaki
Watashi ni Tenshi ga Maiorita!,Staff,,37993,"Kitou, Akari",nijigasaki
Adachi to Shimamura,Staff,,39790,"Kitou, Akari",nijigasaki
Deatte 5-byou de Battle,Staff,,43814,"Kitou, Akari",nijigasaki
Machikado Mazoku,Staff,,39071,"Kitou, Akari",nijigasaki
Last Period: Owarinaki Rasen no Monogatari,Staff,,37254,"Kitou, Akari",nijigasaki
Umayon,Staff,,38835,"Kitou, Akari",nijigasaki
Puraore! Pride of Orange,Main,"Mizusawa, Ayaka",44274,"Sagara, Mayu",nijigasaki
Waccha PriMagi!,Supporting,"Amauri, Miruki",49285,"Sagara, Mayu",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Nakasu, Kasumi",40879,"Sagara, Mayu",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Nakasu, Kasumi",42889,"Sagara, Mayu",nijigasaki
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,Supporting,Female Announcer,39326,"Sagara, Mayu",nijigasaki
Idol Memories,Main,"Kajiwara, Miku",33572,"Sagara, Mayu",nijigasaki
Puraore! Pride of Orange,Staff,,44274,"Sagara, Mayu",nijigasaki
"Kono Healer, Mendokusai",Main,Karla,48742,"Oonishi, Aguri",nijigasaki
Maesetsu!,Main,"Kitakaze, Fubuki",40085,"Oonishi, Aguri",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Uehara, Ayumu",40879,"Oonishi, Aguri",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Uehara, Ayumu",42889,"Oonishi, Aguri",nijigasaki
Shoumetsu Toshi,Supporting,Rena,37952,"Oonishi, Aguri",nijigasaki
Seirei Gensouki,Staff,,44203,"Oonishi, Aguri",nijigasaki
Maesetsu!,Staff,,40085,"Oonishi, Aguri",nijigasaki
Kaijin Kaihatsu-bu no Kuroitsu-san,Main,"Kuroitsu, Touka",49385,"Maeda, Kaori",nijigasaki
Tabi wa ni,Main,"Kitayama, Nagi",49743,"Maeda, Kaori",nijigasaki
Hula Fulla Dance,Supporting,"Kaaihue, Ohana",43762,"Maeda, Kaori",nijigasaki
Platinum End,Supporting,"Yamada, Mimimi",44961,"Maeda, Kaori",nijigasaki
Night Head 2041,Supporting,"Futami, Shouko",43767,"Maeda, Kaori",nijigasaki
Uma Musume: Pretty Derby (TV) Season 2,Supporting,Nice Nature,42941,"Maeda, Kaori",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Ousaka, Shizuku",40879,"Maeda, Kaori",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Ousaka, Shizuku",42889,"Maeda, Kaori",nijigasaki
Tamayomi,Main,"Takeda, Yomi",39966,"Maeda, Kaori",nijigasaki
Ishuzoku Reviewers,Supporting,Thies,40010,"Maeda, Kaori",nijigasaki
Sword Art Online: Alicization - War of Underworld,Supporting,"Zuberg, Selka",39597,"Maeda, Kaori",nijigasaki
Kandagawa Jet Girls,Supporting,"Midorikawa, Yuzu",40196,"Maeda, Kaori",nijigasaki
Bokutachi wa Benkyou ga Dekinai!,Supporting,Inomori,40004,"Maeda, Kaori",nijigasaki
Dr. Stone,Supporting,Sapphire,38691,"Maeda, Kaori",nijigasaki
Bokutachi wa Benkyou ga Dekinai,Supporting,Inomori,38186,"Maeda, Kaori",nijigasaki
Fruits Basket 1st Season,Supporting,Chie,38680,"Maeda, Kaori",nijigasaki
Kemono Friends 2,Supporting,Giant Panda,35313,"Maeda, Kaori",nijigasaki
Sword Art Online: Alicization,Supporting,"Zuberg, Selka",36474,"Maeda, Kaori",nijigasaki
Back Street Girls: Gokudolls,Main,"Tachibana, Mari",36873,"Maeda, Kaori",nijigasaki
Aikatsu Stars!,Supporting,"Futaba, Aria",32717,"Maeda, Kaori",nijigasaki
Back Street Girls: Gokudolls,Staff,,36873,"Maeda, Kaori",nijigasaki
Slow Loop,Supporting,"Fukumoto, Futaba",45425,"Murakami, Natsumi",nijigasaki
"Sentouin, Hakenshimasu!",Main,Rose,41456,"Murakami, Natsumi",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Miyashita, Ai",40879,"Murakami, Natsumi",nijigasaki
Muteki-kyuu*Believer / Mirai Harmony,Main,"Miyashita, Ai",42889,"Murakami, Natsumi",nijigasaki
Mewkledreamy,Main,"Hinata, Yume",40327,"Murakami, Natsumi",nijigasaki
Kami no Tou,Supporting,Hax,40221,"Murakami, Natsumi",nijigasaki
Aikatsu Stars!,Main,"Saotome, Ako",32717,"Murakami, Natsumi",nijigasaki
"Sentouin, Hakenshimasu!",Staff,,41456,"Murakami, Natsumi",nijigasaki
Musashino!,Main,"Bessho, Kojika",35335,"Kubota, Miyu",nijigasaki
Love Live! Nijigasaki Gakuen School Idol Doukoukai,Main,"Asaka, Karin",40879,"Kubota, Miyu",nijigasaki
