id,name,date,artists,lyricists,composers,arrangers,discs,events
124,待ってて愛のうた,2016年4月27日,Aqours,畑 亜貴,山口朗彦,山口朗彦,"{178, 100}","[{'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '109', 'concert': '149', 'performance': '234'}, {'event': '109', 'concert': '149', 'performance': '233'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '13', 'concert': '25', 'performance': '40'}, {'event': '13', 'concert': '19', 'performance': '30'}, {'event': '13', 'concert': '19', 'performance': '29'}, {'event': '13', 'concert': '18', 'performance': '28'}, {'event': '13', 'concert': '18', 'performance': '27'}, {'event': '13', 'concert': '18', 'performance': '26'}, {'event': '14', 'concert': '16', 'performance': '23'}, {'event': '13', 'concert': '15', 'performance': '20'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '4', 'concert': '4', 'performance': '5'}, {'event': '4', 'concert': '4', 'performance': '4'}]"
125,届かない星だとしても,2016年4月27日,Aqours,畑 亜貴,宮崎 誠,宮崎 誠,"{178, 100}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '22', 'concert': '46', 'performance': '81'}, {'event': '22', 'concert': '45', 'performance': '79'}, {'event': '22', 'concert': '44', 'performance': '76'}, {'event': '22', 'concert': '43', 'performance': '74'}, {'event': '22', 'concert': '42', 'performance': '72'}, {'event': '22', 'concert': '40', 'performance': '69'}, {'event': '22', 'concert': '38', 'performance': '64'}, {'event': '22', 'concert': '37', 'performance': '62'}, {'event': '22', 'concert': '34', 'performance': '57'}, {'event': '22', 'concert': '33', 'performance': '54'}, {'event': '13', 'concert': '25', 'performance': '42'}, {'event': '14', 'concert': '16', 'performance': '24'}, {'event': '13', 'concert': '15', 'performance': '22'}, {'event': '12', 'concert': '14', 'performance': '19'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '10', 'concert': '10', 'performance': '13'}, {'event': '6', 'concert': '6', 'performance': '8'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
126,元気全開DAY! DAY! DAY!,2016年5月11日,CYaRon！,畑 亜貴,高田 暁,高田 暁,"{101, 206}","[{'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '29', 'concert': '54', 'performance': '100'}, {'event': '22', 'concert': '48', 'performance': '88'}, {'event': '22', 'concert': '48', 'performance': '87'}, {'event': '22', 'concert': '48', 'performance': '86'}, {'event': '22', 'concert': '48', 'performance': '85'}, {'event': '22', 'concert': '45', 'performance': '78'}, {'event': '22', 'concert': '43', 'performance': '74'}, {'event': '22', 'concert': '43', 'performance': '73'}, {'event': '54', 'concert': '80', 'performance': '136'}, {'event': '22', 'concert': '34', 'performance': '58'}, {'event': '22', 'concert': '34', 'performance': '57'}, {'event': '19', 'concert': '29', 'performance': '49'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
127,夜空はなんでも知ってるの？,2016年5月11日,CYaRon！,畑 亜貴,Kon-K,Kon-K,"{101, 206}","[{'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '22', 'concert': '46', 'performance': '83'}, {'event': '22', 'concert': '46', 'performance': '82'}, {'event': '22', 'concert': '46', 'performance': '81'}, {'event': '22', 'concert': '45', 'performance': '78'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
128,トリコリコPLEASE!!,2016年5月25日,AZALEA,畑 亜貴,宮崎 誠,宮崎 誠,"{102, 207}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '115', 'concert': '157', 'performance': '247'}, {'event': '109', 'concert': '149', 'performance': '234'}, {'event': '109', 'concert': '149', 'performance': '233'}, {'event': '59', 'concert': '85', 'performance': '141'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '29', 'concert': '54', 'performance': '100'}, {'event': '22', 'concert': '48', 'performance': '88'}, {'event': '22', 'concert': '48', 'performance': '87'}, {'event': '22', 'concert': '48', 'performance': '86'}, {'event': '22', 'concert': '48', 'performance': '85'}, {'event': '22', 'concert': '42', 'performance': '72'}, {'event': '22', 'concert': '42', 'performance': '71'}, {'event': '22', 'concert': '38', 'performance': '65'}, {'event': '22', 'concert': '38', 'performance': '64'}, {'event': '22', 'concert': '33', 'performance': '56'}, {'event': '22', 'concert': '33', 'performance': '55'}, {'event': '22', 'concert': '33', 'performance': '54'}, {'event': '19', 'concert': '29', 'performance': '49'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
129,ときめき分類学,2016年5月25日,AZALEA,畑 亜貴,金崎真士,金崎真士,"{102, 207}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '109', 'concert': '149', 'performance': '234'}, {'event': '109', 'concert': '149', 'performance': '233'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '22', 'concert': '45', 'performance': '79'}, {'event': '22', 'concert': '42', 'performance': '72'}, {'event': '22', 'concert': '42', 'performance': '71'}, {'event': '22', 'concert': '38', 'performance': '65'}, {'event': '22', 'concert': '38', 'performance': '64'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
130,Strawberry Trapper,2016年6月8日,Guilty Kiss,畑 亜貴,金崎真士,金崎真士,"{208, 103}","[{'event': '113', 'concert': '155', 'performance': '244'}, {'event': '113', 'concert': '155', 'performance': '243'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '36', 'concert': '61', 'performance': '108'}, {'event': '35', 'concert': '60', 'performance': '107'}, {'event': '29', 'concert': '54', 'performance': '100'}, {'event': '22', 'concert': '48', 'performance': '88'}, {'event': '22', 'concert': '48', 'performance': '87'}, {'event': '22', 'concert': '48', 'performance': '86'}, {'event': '22', 'concert': '48', 'performance': '85'}, {'event': '22', 'concert': '45', 'performance': '80'}, {'event': '22', 'concert': '40', 'performance': '69'}, {'event': '22', 'concert': '40', 'performance': '68'}, {'event': '22', 'concert': '40', 'performance': '67'}, {'event': '22', 'concert': '37', 'performance': '63'}, {'event': '22', 'concert': '37', 'performance': '62'}, {'event': '19', 'concert': '29', 'performance': '49'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
131,"Guilty Night, Guilty Kiss!",2016年6月8日,Guilty Kiss,畑 亜貴,R・O・N,R・O・N,"{208, 103}","[{'event': '113', 'concert': '155', 'performance': '244'}, {'event': '113', 'concert': '155', 'performance': '243'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '36', 'concert': '61', 'performance': '108'}, {'event': '35', 'concert': '60', 'performance': '107'}, {'event': '22', 'concert': '45', 'performance': '80'}, {'event': '22', 'concert': '40', 'performance': '69'}, {'event': '22', 'concert': '40', 'performance': '68'}, {'event': '22', 'concert': '40', 'performance': '67'}, {'event': '19', 'concert': '29', 'performance': '49'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
132,青空Jumping Heart,2016年7月20日,Aqours,畑 亜貴,伊藤 賢、光増ハジメ,EFFY,"{104, 178}","[{'event': '117', 'concert': '159', 'performance': '251'}, {'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '45', 'concert': '71', 'performance': '127'}, {'event': '45', 'concert': '71', 'performance': '126'}, {'event': '42', 'concert': '67', 'performance': '117'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '37', 'concert': '62', 'performance': '109'}, {'event': '33', 'concert': '58', 'performance': '105'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '20', 'concert': '31', 'performance': '52'}, {'event': '51', 'concert': '77', 'performance': '133'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}, {'event': '13', 'concert': '25', 'performance': '42'}, {'event': '13', 'concert': '25', 'performance': '41'}, {'event': '13', 'concert': '25', 'performance': '40'}, {'event': '14', 'concert': '24', 'performance': '39'}, {'event': '14', 'concert': '24', 'performance': '38'}, {'event': '13', 'concert': '23', 'performance': '37'}, {'event': '13', 'concert': '23', 'performance': '36'}, {'event': '14', 'concert': '22', 'performance': '35'}, {'event': '14', 'concert': '22', 'performance': '34'}, {'event': '13', 'concert': '20', 'performance': '32'}, {'event': '13', 'concert': '20', 'performance': '31'}, {'event': '13', 'concert': '19', 'performance': '30'}, {'event': '13', 'concert': '19', 'performance': '29'}, {'event': '47', 'concert': '73', 'performance': '129'}, {'event': '13', 'concert': '18', 'performance': '28'}, {'event': '13', 'concert': '18', 'performance': '27'}, {'event': '13', 'concert': '18', 'performance': '26'}, {'event': '14', 'concert': '16', 'performance': '24'}, {'event': '14', 'concert': '16', 'performance': '23'}, {'event': '13', 'concert': '15', 'performance': '22'}, {'event': '13', 'concert': '15', 'performance': '21'}, {'event': '13', 'concert': '15', 'performance': '20'}, {'event': '10', 'concert': '13', 'performance': '18'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '11', 'concert': '12', 'performance': '16'}, {'event': '10', 'concert': '11', 'performance': '15'}, {'event': '10', 'concert': '11', 'performance': '14'}, {'event': '10', 'concert': '10', 'performance': '13'}, {'event': '10', 'concert': '10', 'performance': '12'}, {'event': '9', 'concert': '9', 'performance': '11'}, {'event': '8', 'concert': '8', 'performance': '10'}, {'event': '7', 'concert': '7', 'performance': '9'}, {'event': '6', 'concert': '6', 'performance': '8'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}, {'event': '4', 'concert': '4', 'performance': '5'}, {'event': '4', 'concert': '4', 'performance': '4'}, {'event': '3', 'concert': '3', 'performance': '3'}, {'event': '2', 'concert': '2', 'performance': '2'}]"
133,ハミングフレンド,2016年7月20日,Aqours,畑 亜貴,桑原 聖（Arte Refact）,酒井拓也（Arte Refact）,"{104, 178}","[{'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '13', 'concert': '25', 'performance': '42'}, {'event': '13', 'concert': '25', 'performance': '41'}, {'event': '13', 'concert': '25', 'performance': '40'}, {'event': '14', 'concert': '22', 'performance': '35'}, {'event': '14', 'concert': '22', 'performance': '34'}, {'event': '13', 'concert': '20', 'performance': '32'}, {'event': '13', 'concert': '20', 'performance': '31'}, {'event': '10', 'concert': '11', 'performance': '15'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '4', 'concert': '4', 'performance': '5'}, {'event': '4', 'concert': '4', 'performance': '4'}]"
134,決めたよHand in Hand,2016年8月3日,高海千歌、桜内梨子、渡辺 曜,畑 亜貴,渡辺拓也,渡辺拓也,"{105, 178}","[{'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
135,ダイスキだったらダイジョウブ！,2016年8月3日,高海千歌、桜内梨子、渡辺 曜,畑 亜貴,高田 暁,高田 暁,"{105, 178}","[{'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
136,ユメ語るよりユメ歌おう,2016年8月24日,Aqours,畑 亜貴,山口朗彦,山口朗彦,"{178, 106}","[{'event': '116', 'concert': '158', 'performance': '249'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '22', 'concert': '48', 'performance': '86'}, {'event': '22', 'concert': '48', 'performance': '85'}, {'event': '22', 'concert': '46', 'performance': '83'}, {'event': '22', 'concert': '46', 'performance': '82'}, {'event': '22', 'concert': '46', 'performance': '81'}, {'event': '22', 'concert': '45', 'performance': '80'}, {'event': '22', 'concert': '43', 'performance': '74'}, {'event': '22', 'concert': '43', 'performance': '73'}, {'event': '22', 'concert': '42', 'performance': '72'}, {'event': '22', 'concert': '42', 'performance': '71'}, {'event': '26', 'concert': '41', 'performance': '70'}, {'event': '22', 'concert': '40', 'performance': '69'}, {'event': '22', 'concert': '40', 'performance': '68'}, {'event': '22', 'concert': '40', 'performance': '67'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '22', 'concert': '33', 'performance': '56'}, {'event': '22', 'concert': '33', 'performance': '55'}, {'event': '22', 'concert': '33', 'performance': '54'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}, {'event': '13', 'concert': '23', 'performance': '37'}, {'event': '49', 'concert': '75', 'performance': '131'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '11', 'concert': '12', 'performance': '16'}, {'event': '8', 'concert': '8', 'performance': '10'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
137,サンシャインぴっかぴか音頭,2016年8月24日,Aqours,畑 亜貴,伊藤真澄,EFFY,"{178, 106}","[{'event': '20', 'concert': '31', 'performance': '52'}, {'event': '19', 'concert': '29', 'performance': '49'}, {'event': '14', 'concert': '24', 'performance': '39'}, {'event': '10', 'concert': '13', 'performance': '18'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '10', 'concert': '11', 'performance': '15'}, {'event': '10', 'concert': '11', 'performance': '14'}, {'event': '10', 'concert': '10', 'performance': '13'}, {'event': '10', 'concert': '10', 'performance': '12'}]"
138,夢で夜空を照らしたい,2016年9月14日,高海千歌、桜内梨子、渡辺 曜、津島善子、国木田花丸、黒澤ルビィ,畑 亜貴,光増ハジメ,EFFY,"{178, 107}","[{'event': '115', 'concert': '157', 'performance': '247'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
139,未熟DREAMER,2016年9月14日,Aqours,畑 亜貴,渡辺和紀,渡辺和紀,"{178, 107}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '115', 'concert': '157', 'performance': '247'}, {'event': '97', 'concert': '127', 'performance': '192'}, {'event': '45', 'concert': '71', 'performance': '127'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '14', 'concert': '22', 'performance': '35'}, {'event': '14', 'concert': '22', 'performance': '34'}, {'event': '13', 'concert': '20', 'performance': '32'}, {'event': '13', 'concert': '20', 'performance': '31'}, {'event': '10', 'concert': '13', 'performance': '18'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '9', 'concert': '9', 'performance': '11'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
140,Pops heartで踊るんだもん！,2016年9月27日,Aqours,畑 亜貴,高田 暁,高田 暁,"{178, 133}","[{'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '22', 'concert': '45', 'performance': '80'}, {'event': '22', 'concert': '40', 'performance': '68'}, {'event': '22', 'concert': '37', 'performance': '63'}, {'event': '22', 'concert': '34', 'performance': '58'}, {'event': '22', 'concert': '33', 'performance': '55'}, {'event': '10', 'concert': '13', 'performance': '18'}, {'event': '10', 'concert': '10', 'performance': '12'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}, {'event': '4', 'concert': '4', 'performance': '5'}, {'event': '4', 'concert': '4', 'performance': '4'}]"
141,空も心も晴れるから,2016年10月26日,高海千歌、桜内梨子、渡辺 曜,畑 亜貴,原田 篤（Arte Refact）,脇 眞富（Arte Refact）,"{178, 134}","[{'event': '22', 'concert': '46', 'performance': '83'}, {'event': '22', 'concert': '45', 'performance': '78'}, {'event': '22', 'concert': '44', 'performance': '75'}, {'event': '22', 'concert': '33', 'performance': '56'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}, {'event': '10', 'concert': '11', 'performance': '15'}, {'event': '10', 'concert': '11', 'performance': '14'}, {'event': '10', 'concert': '10', 'performance': '13'}, {'event': '10', 'concert': '10', 'performance': '12'}]"
142,想いよひとつになれ,2016年11月9日,高海千歌、松浦果南、黒澤ダイヤ、渡辺 曜、津島善子、国木田花丸、小原鞠莉、黒澤ルビィ,畑 亜貴,佐伯高志,佐伯高志,"{178, 108}","[{'event': '33', 'concert': '58', 'performance': '105'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
143,MIRAI TICKET,2016年11月9日,Aqours,畑 亜貴,EFFY,EFFY,"{178, 108}","[{'event': '45', 'concert': '71', 'performance': '126'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '20', 'concert': '31', 'performance': '52'}, {'event': '19', 'concert': '29', 'performance': '49'}, {'event': '14', 'concert': '24', 'performance': '39'}, {'event': '14', 'concert': '24', 'performance': '38'}, {'event': '13', 'concert': '23', 'performance': '37'}, {'event': '13', 'concert': '23', 'performance': '36'}, {'event': '15', 'concert': '17', 'performance': '25'}, {'event': '10', 'concert': '13', 'performance': '18'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '8', 'concert': '8', 'performance': '10'}, {'event': '7', 'concert': '7', 'performance': '9'}, {'event': '5', 'concert': '5', 'performance': '7'}, {'event': '5', 'concert': '5', 'performance': '6'}]"
144,ジングルベルがとまらない,2016年11月23日,Aqours,畑 亜貴,光増ハジメ,EFFY,"{178, 109}","[{'event': '45', 'concert': '71', 'performance': '127'}, {'event': '45', 'concert': '71', 'performance': '126'}, {'event': '44', 'concert': '70', 'performance': '125'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '13', 'concert': '19', 'performance': '30'}, {'event': '13', 'concert': '19', 'performance': '29'}, {'event': '13', 'concert': '18', 'performance': '28'}, {'event': '13', 'concert': '18', 'performance': '27'}, {'event': '13', 'concert': '18', 'performance': '26'}, {'event': '4', 'concert': '4', 'performance': '5'}, {'event': '4', 'concert': '4', 'performance': '4'}]"
145,聖なる日の祈り,2016年11月23日,Aqours,畑 亜貴,田中俊亮,伊藤 賢、田中俊亮,"{178, 109}","[{'event': '45', 'concert': '71', 'performance': '127'}, {'event': '45', 'concert': '71', 'performance': '126'}, {'event': '22', 'concert': '38', 'performance': '65'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '13', 'concert': '19', 'performance': '30'}, {'event': '13', 'concert': '19', 'performance': '29'}, {'event': '13', 'concert': '18', 'performance': '28'}, {'event': '13', 'concert': '18', 'performance': '27'}, {'event': '13', 'concert': '18', 'performance': '26'}, {'event': '4', 'concert': '4', 'performance': '5'}, {'event': '4', 'concert': '4', 'performance': '4'}]"
146,Waku-Waku-Week!,2016年11月25日,津島善子、国木田花丸、黒澤ルビィ,畑 亜貴,ラムシーニ、内田陽吾,ラムシーニ、小高光太郎,"{178, 135}","[{'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '10', 'concert': '11', 'performance': '15'}, {'event': '10', 'concert': '11', 'performance': '14'}, {'event': '10', 'concert': '10', 'performance': '13'}, {'event': '10', 'concert': '10', 'performance': '12'}]"
147,SELF CONTROL!!,2016年11月30日,Saint Snow,畑 亜貴,河田貴央,河田貴央,{110},"[{'event': '43', 'concert': '69', 'performance': '122'}, {'event': '43', 'concert': '68', 'performance': '121'}, {'event': '43', 'concert': '68', 'performance': '119'}, {'event': '59', 'concert': '85', 'performance': '141'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}]"
148,Daydream Warrior,2016年12月22日,Aqours,畑 亜貴,前口 渉,中土智博,"{136, 178}","[{'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}, {'event': '13', 'concert': '25', 'performance': '42'}, {'event': '13', 'concert': '25', 'performance': '41'}, {'event': '13', 'concert': '25', 'performance': '40'}, {'event': '14', 'concert': '24', 'performance': '39'}, {'event': '14', 'concert': '24', 'performance': '38'}, {'event': '13', 'concert': '23', 'performance': '37'}, {'event': '13', 'concert': '23', 'performance': '36'}, {'event': '14', 'concert': '16', 'performance': '24'}, {'event': '14', 'concert': '16', 'performance': '23'}, {'event': '13', 'concert': '15', 'performance': '22'}, {'event': '13', 'concert': '15', 'performance': '21'}, {'event': '13', 'concert': '15', 'performance': '20'}, {'event': '12', 'concert': '14', 'performance': '19'}, {'event': '10', 'concert': '13', 'performance': '18'}, {'event': '10', 'concert': '13', 'performance': '17'}, {'event': '10', 'concert': '11', 'performance': '15'}, {'event': '10', 'concert': '11', 'performance': '14'}, {'event': '10', 'concert': '10', 'performance': '13'}, {'event': '10', 'concert': '10', 'performance': '12'}]"
